epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,178.982,0.93532,0.9102,1.16373,0.81061,0.70717,0.76553,0.41581,1.52468,1.16263,1.64247,0.00011885,0.00011885,0.00011885
79,181.187,0.90933,0.8755,1.15345,0.82964,0.72436,0.76927,0.42328,1.53453,1.12413,1.63546,0.0001139,0.0001139,0.0001139
80,183.411,0.90444,0.85663,1.14054,0.83479,0.7374,0.78199,0.42024,1.51705,1.12206,1.62391,0.00010895,0.00010895,0.00010895
81,185.58,0.90571,0.86145,1.16224,0.86162,0.72693,0.78122,0.42203,1.53706,1.14929,1.6517,0.000104,0.000104,0.000104
82,187.781,0.89169,0.84357,1.14453,0.8635,0.7243,0.78839,0.44162,1.50395,1.11367,1.61778,9.905e-05,9.905e-05,9.905e-05
83,190.136,0.87849,0.82023,1.13201,0.81267,0.7349,0.77788,0.41877,1.48612,1.09249,1.61393,9.41e-05,9.41e-05,9.41e-05
84,192.357,0.91867,0.86467,1.13572,0.80803,0.73343,0.77212,0.41686,1.49322,1.07699,1.61094,8.915e-05,8.915e-05,8.915e-05
85,194.545,0.8507,0.82377,1.1251,0.79745,0.72391,0.76837,0.41458,1.50037,1.11507,1.61399,8.42e-05,8.42e-05,8.42e-05
86,197.033,0.86132,0.85553,1.12659,0.83502,0.7166,0.77805,0.42869,1.49419,1.10465,1.62339,7.925e-05,7.925e-05,7.925e-05
87,199.339,0.85574,0.80565,1.11977,0.84664,0.72204,0.78576,0.42998,1.50212,1.09235,1.639,7.43e-05,7.43e-05,7.43e-05
88,201.472,0.86976,0.81998,1.13251,0.87396,0.70457,0.78887,0.43204,1.52081,1.09318,1.65335,6.935e-05,6.935e-05,6.935e-05
89,203.6,0.87562,0.84642,1.14112,0.8421,0.72821,0.7855,0.4235,1.55381,1.11027,1.67921,6.44e-05,6.44e-05,6.44e-05
90,205.729,0.85047,0.8042,1.10861,0.86491,0.71582,0.78438,0.42712,1.53266,1.11559,1.66062,5.945e-05,5.945e-05,5.945e-05
91,208.418,0.84465,0.92068,1.13188,0.81516,0.70303,0.76616,0.41748,1.53252,1.12068,1.66488,5.45e-05,5.45e-05,5.45e-05
92,210.547,0.81922,0.86007,1.11248,0.85746,0.69031,0.7552,0.41075,1.54262,1.14838,1.68818,4.955e-05,4.955e-05,4.955e-05
93,212.646,0.79528,0.80392,1.1004,0.88303,0.68647,0.76464,0.43091,1.52032,1.12413,1.66507,4.46e-05,4.46e-05,4.46e-05
94,214.743,0.75246,0.78202,1.06215,0.85719,0.69813,0.77246,0.43568,1.51329,1.09596,1.65365,3.965e-05,3.965e-05,3.965e-05
95,216.846,0.77128,0.76334,1.0626,0.86495,0.69342,0.77023,0.43141,1.52173,1.11243,1.65695,3.47e-05,3.47e-05,3.47e-05
96,219.054,0.76033,0.76151,1.0703,0.8647,0.69021,0.77628,0.44452,1.50993,1.09651,1.64043,2.975e-05,2.975e-05,2.975e-05
97,221.171,0.74456,0.77846,1.08157,0.84022,0.72134,0.77559,0.42973,1.50787,1.09197,1.6385,2.48e-05,2.48e-05,2.48e-05
98,223.282,0.74233,0.72483,1.04195,0.87157,0.69812,0.78057,0.43227,1.51251,1.0986,1.64413,1.985e-05,1.985e-05,1.985e-05
99,225.451,0.7411,0.74059,1.05447,0.8866,0.69676,0.78443,0.44084,1.51593,1.11435,1.65161,1.49e-05,1.49e-05,1.49e-05
100,227.57,0.74144,0.75657,1.05952,0.87508,0.70146,0.78211,0.43576,1.50757,1.1054,1.64258,9.95e-06,9.95e-06,9.95e-06
